outcome,trait,dataset,est,se,Data,name,pval,pval_text
ideology,Openness,anes1012,-0.14740975714000365,0.028225859287322977,ANES 2010-12,Left-right ideology,1.7651656374336606e-7,p < 0.01
stfdem,Conscientiousness,anes1012,NA,NA,ANES 2010-12,Sat. democracy,NA,p =  NA
polintr,Extraversion,anes1012,-0.003282562289469239,0.02854386723906998,ANES 2010-12,Interest,0.908444634510073,p =  0.91
poleff,Agreeableness,anes1012,0.06593900213840873,0.028164512689859277,ANES 2010-12,Efficacy,0.019221419094965286,p =  0.02
involvement,Neuroticism,anes1012,-0.08191448161438791,0.02898597648744193,ANES 2010-12,Involvement,0.004713269518758696,p < 0.01
polpar,Openness,anes1012,0.030895536860889816,0.029013178692194677,ANES 2010-12,Participation,0.2869304997613302,p =  0.29
media,Conscientiousness,anes1012,0.12804534047922406,0.028167610624969287,ANES 2010-12,Media use,5.471761169852572e-6,p < 0.01
poltr,Extraversion,anes1012,NA,NA,ANES 2010-12,Political trust,NA,p =  NA
knowledge,Agreeableness,anes1012,0.06575192823349832,0.02950387532501962,ANES 2010-12,Knowledge,0.02584145271351089,p =  0.03
ideology,Neuroticism,anes1012,-0.05298516742073575,0.028517602042546362,ANES 2010-12,Left-right ideology,0.06317168929696992,p =  0.06
stfdem,Openness,anes1012,NA,NA,ANES 2010-12,Sat. democracy,NA,p =  NA
polintr,Conscientiousness,anes1012,0.13732909697736914,0.028297373116060943,ANES 2010-12,Interest,1.215655280755657e-6,p < 0.01
poleff,Extraversion,anes1012,0.021393903417657997,0.02815397710715896,ANES 2010-12,Efficacy,0.44732081190979045,p =  0.45
involvement,Agreeableness,anes1012,0.09244710563519964,0.029150946905384743,ANES 2010-12,Involvement,0.0015174564465091497,p < 0.01
polpar,Neuroticism,anes1012,-0.0762237702711247,0.028962407225993376,ANES 2010-12,Participation,0.008492946958337046,p < 0.01
media,Openness,anes1012,0.054917079133498206,0.02836647857882449,ANES 2010-12,Media use,0.0528695290597828,p =  0.05
poltr,Conscientiousness,anes1012,NA,NA,ANES 2010-12,Political trust,NA,p =  NA
knowledge,Extraversion,anes1012,-0.04125965066997927,0.02912408458173962,ANES 2010-12,Knowledge,0.1565750756051849,p =  0.16
ideology,Agreeableness,anes1012,0.02200368527975181,0.028553741433333966,ANES 2010-12,Left-right ideology,0.44094048692573534,p =  0.44
stfdem,Neuroticism,anes1012,NA,NA,ANES 2010-12,Sat. democracy,NA,p =  NA
polintr,Openness,anes1012,0.1393205228708532,0.02834137158977654,ANES 2010-12,Interest,8.842049799280838e-7,p < 0.01
poleff,Conscientiousness,anes1012,0.02240553311165213,0.028222018886094873,ANES 2010-12,Efficacy,0.42725215781157133,p =  0.43
involvement,Extraversion,anes1012,0.06174780398871276,0.02909426502612035,ANES 2010-12,Involvement,0.03380953839116771,p =  0.03
polpar,Agreeableness,anes1012,0.07529550446852804,0.029182250049631677,ANES 2010-12,Participation,0.009874837269937304,p < 0.01
media,Neuroticism,anes1012,-0.10894892048406572,0.02824434658360962,ANES 2010-12,Media use,1.146131814607189e-4,p < 0.01
poltr,Openness,anes1012,NA,NA,ANES 2010-12,Political trust,NA,p =  NA
knowledge,Conscientiousness,anes1012,0.10910074769229708,0.029044478071644342,ANES 2010-12,Knowledge,1.7242085104038558e-4,p < 0.01
ideology,Extraversion,anes1012,-0.026019344437811873,0.028532903104756084,ANES 2010-12,Left-right ideology,0.3618178540835127,p =  0.36
stfdem,Agreeableness,anes1012,NA,NA,ANES 2010-12,Sat. democracy,NA,p =  NA
polintr,Neuroticism,anes1012,-0.13820985807677819,0.028343174389945738,ANES 2010-12,Interest,1.0809346489729141e-6,p < 0.01
poleff,Openness,anes1012,0.09119329674967747,0.028047604703064027,ANES 2010-12,Efficacy,0.001148480347536143,p < 0.01
involvement,Conscientiousness,anes1012,0.05353647124298913,0.02933119760775458,ANES 2010-12,Involvement,0.06796483998294145,p =  0.07
polpar,Extraversion,anes1012,-0.01836883224304967,0.028957779918767912,ANES 2010-12,Participation,0.525864497194348,p =  0.53
media,Agreeableness,anes1012,0.1042113384139102,0.028280127747351155,ANES 2010-12,Media use,2.287322454358274e-4,p < 0.01
poltr,Neuroticism,anes1012,NA,NA,ANES 2010-12,Political trust,NA,p =  NA
knowledge,Openness,anes1012,0.07484934975180103,0.02913552851850163,ANES 2010-12,Knowledge,0.010199066959246661,p =  0.01
ideology,Conscientiousness,anes1012,0.039829308190463576,0.028518417461119647,ANES 2010-12,Left-right ideology,0.16252875900558356,p =  0.16
stfdem,Extraversion,anes1012,NA,NA,ANES 2010-12,Sat. democracy,NA,p =  NA
polintr,Agreeableness,anes1012,0.08627057751608215,0.028429450774355044,ANES 2010-12,Interest,0.0024089516777119125,p < 0.01
poleff,Neuroticism,anes1012,-0.09529732538388257,0.028052049510009322,ANES 2010-12,Efficacy,6.808892208591614e-4,p < 0.01
involvement,Openness,anes1012,0.18734012523560445,0.028596028263679633,ANES 2010-12,Involvement,5.705216595543877e-11,p < 0.01
polpar,Conscientiousness,anes1012,0.08497854521837077,0.029596886435901876,ANES 2010-12,Participation,0.004089182513467197,p < 0.01
media,Extraversion,anes1012,-0.033934353298239225,0.028434372147671267,ANES 2010-12,Media use,0.23270210544547038,p =  0.23
poltr,Agreeableness,anes1012,NA,NA,ANES 2010-12,Political trust,NA,p =  NA
knowledge,Neuroticism,anes1012,-0.16098377655311846,0.028978789420892406,ANES 2010-12,Knowledge,2.7724995062548447e-8,p < 0.01
ideology,Openness,anes12,-0.17243018881962102,0.01390073648114004,ANES 2012,Left-right ideology,2.473824181061322e-35,p < 0.01
stfdem,Conscientiousness,anes12,0.01210198286719837,0.013624792040842028,ANES 2012,Sat. democracy,0.37441570911155453,p =  0.37
polintr,Extraversion,anes12,0.07953584973120165,0.013452871800825135,ANES 2012,Interest,3.376016614499923e-9,p < 0.01
poleff,Agreeableness,anes12,-0.0028621190715198363,0.013552008223823877,ANES 2012,Efficacy,0.8327349570348583,p =  0.83
involvement,Neuroticism,anes12,-0.10215897397519158,0.013483494364895321,ANES 2012,Involvement,3.547423787531061e-14,p < 0.01
polpar,Openness,anes12,0.04744370585045908,0.018434169733284874,ANES 2012,Participation,0.010062247222824073,p =  0.01
media,Conscientiousness,anes12,0.07945037773601804,0.013551402198507936,ANES 2012,Media use,4.548801290927502e-9,p < 0.01
poltr,Extraversion,anes12,0.03189467653658636,0.019191702850678224,ANES 2012,Political trust,0.09653297749624523,p =  0.1
knowledge,Agreeableness,anes12,0.06170195113267078,0.013503615022953564,ANES 2012,Knowledge,4.893761204925091e-6,p < 0.01
ideology,Neuroticism,anes12,-0.018518809097314768,0.014103411304462026,ANES 2012,Left-right ideology,0.18915833882113464,p =  0.19
stfdem,Openness,anes12,0.036493304752296674,0.013593560985155937,ANES 2012,Sat. democracy,0.007261616190926857,p < 0.01
polintr,Conscientiousness,anes12,0.11139114106463001,0.013439789094089258,ANES 2012,Interest,1.1501245229103597e-16,p < 0.01
poleff,Extraversion,anes12,0.00788342171878932,0.01352520870460739,ANES 2012,Efficacy,0.5599816477372568,p =  0.56
involvement,Agreeableness,anes12,0.09255067821348112,0.013500106663971105,ANES 2012,Involvement,7.103786031353314e-12,p < 0.01
polpar,Neuroticism,anes12,-0.05410733928843313,0.01850738051008156,ANES 2012,Participation,0.0034605941556746815,p < 0.01
media,Openness,anes12,-0.0022162394343189077,0.013592001288949912,ANES 2012,Media use,0.8704753814956424,p =  0.87
poltr,Conscientiousness,anes12,-0.02226889991437777,0.01928733392059695,ANES 2012,Political trust,0.24825970099051473,p =  0.25
knowledge,Extraversion,anes12,-0.019262834487348304,0.01351573319876655,ANES 2012,Knowledge,0.15409487358348753,p =  0.15
ideology,Agreeableness,anes12,-0.014256524974366927,0.014129747644534459,ANES 2012,Left-right ideology,0.3129878851323412,p =  0.31
stfdem,Neuroticism,anes12,-0.0780427865623943,0.013554433419065742,ANES 2012,Sat. democracy,8.52518745701679e-9,p < 0.01
polintr,Openness,anes12,0.13550504672245664,0.013392852428847525,ANES 2012,Interest,4.610594818477964e-24,p < 0.01
poleff,Conscientiousness,anes12,-4.76229676870737e-4,0.013578102324938843,ANES 2012,Efficacy,0.9720212436314725,p =  0.97
involvement,Extraversion,anes12,0.12141871662679703,0.013445161065285255,ANES 2012,Involvement,1.7063503595908196e-19,p < 0.01
polpar,Agreeableness,anes12,0.04219434318990086,0.018577703846869794,ANES 2012,Participation,0.023132716650192973,p =  0.02
media,Neuroticism,anes12,-0.0374326951509099,0.013563025805834683,ANES 2012,Media use,0.005781774903952602,p < 0.01
poltr,Openness,anes12,0.029205602842398665,0.01932336230933422,ANES 2012,Political trust,0.13068297140494517,p =  0.13
knowledge,Conscientiousness,anes12,0.1414083799965073,0.013406521581917272,ANES 2012,Knowledge,5.203874555137786e-26,p < 0.01
ideology,Extraversion,anes12,-0.027730656886900754,0.013918612471448018,ANES 2012,Left-right ideology,0.04633338351911238,p =  0.05
stfdem,Agreeableness,anes12,0.057859356925219506,0.013574382306690443,ANES 2012,Sat. democracy,2.0224902748899253e-5,p < 0.01
polintr,Neuroticism,anes12,-0.13336330688309653,0.013376941063858935,ANES 2012,Interest,2.06974537283149e-23,p < 0.01
poleff,Openness,anes12,-0.0010423491442754969,0.013542217020538363,ANES 2012,Efficacy,0.9386471345696811,p =  0.94
involvement,Conscientiousness,anes12,0.07917242690038871,0.013558271488168796,ANES 2012,Involvement,5.23832052642727e-9,p < 0.01
polpar,Extraversion,anes12,-0.005273017754259856,0.018220803873865495,ANES 2012,Participation,0.7722787757379528,p =  0.77
media,Agreeableness,anes12,0.05843879480320643,0.013556954574524495,ANES 2012,Media use,1.6280205634078118e-5,p < 0.01
poltr,Neuroticism,anes12,-0.04916880684210667,0.01955664747601049,ANES 2012,Political trust,0.011931168648318098,p =  0.01
knowledge,Openness,anes12,0.06815282820386397,0.013503083003156656,ANES 2012,Knowledge,4.4832020835588015e-7,p < 0.01
ideology,Conscientiousness,anes12,0.07223654287214855,0.014268852516183319,ANES 2012,Left-right ideology,4.137214891526499e-7,p < 0.01
stfdem,Extraversion,anes12,0.03775716875832487,0.013556804636539448,ANES 2012,Sat. democracy,0.005350985182270646,p < 0.01
polintr,Agreeableness,anes12,0.0418050880527518,0.013496089729048122,ANES 2012,Interest,0.0019511404720645568,p < 0.01
poleff,Neuroticism,anes12,-0.02832807474277605,0.01352770652670955,ANES 2012,Efficacy,0.036253018577122174,p =  0.04
involvement,Openness,anes12,0.1678866945332141,0.013386982302762689,ANES 2012,Involvement,4.4510946124118094e-36,p < 0.01
polpar,Conscientiousness,anes12,0.0795345671484117,0.019035607145095314,ANES 2012,Participation,2.9382567954462368e-005,p < 0.01
media,Extraversion,anes12,0.06391278492013382,0.013543007355538593,ANES 2012,Media use,2.3672027579821293e-6,p < 0.01
poltr,Agreeableness,anes12,0.0354022524088996,0.01972431109642168,ANES 2012,Political trust,0.07267701513494058,p =  0.07
knowledge,Neuroticism,anes12,-0.1348257444708382,0.013395220086212477,ANES 2012,Knowledge,7.871668846845913e-24,p < 0.01
ideology,Openness,anes16,-0.2532565476338491,0.018359991114749886,ANES 2016,Left-right ideology,2.7721165951624358e-43,p < 0.01
stfdem,Conscientiousness,anes16,0.08567405490387821,0.016739527619938487,ANES 2016,Sat. democracy,3.0867992483952164e-7,p < 0.01
polintr,Extraversion,anes16,0.09314021621079811,0.0164533223142776,ANES 2016,Interest,1.506022872775991e-8,p < 0.01
poleff,Agreeableness,anes16,0.054882486218372654,0.01676658545953838,ANES 2016,Efficacy,0.001062901217023388,p < 0.01
involvement,Neuroticism,anes16,-0.052707790538255604,0.0167742151702662,ANES 2016,Involvement,0.0016768851878009984,p < 0.01
polpar,Openness,anes16,0.012315212372414572,0.019618901222466293,ANES 2016,Participation,0.5301861890241928,p =  0.53
media,Conscientiousness,anes16,0.09465934820637277,0.016455791019278947,ANES 2016,Media use,8.801518663502046e-9,p < 0.01
poltr,Extraversion,anes16,-0.0067498531117202035,0.01666544789414998,ANES 2016,Political trust,0.6854622185406611,p =  0.69
knowledge,Agreeableness,anes16,0.10024678367532114,0.016590339946434114,ANES 2016,Knowledge,1.5176394059192285e-9,p < 0.01
ideology,Neuroticism,anes16,-0.06838808381613294,0.019147026591477736,ANES 2016,Left-right ideology,3.546256433661213e-4,p < 0.01
stfdem,Openness,anes16,-0.07125063180189711,0.016734975275938917,ANES 2016,Sat. democracy,2.066442237714076e-5,p < 0.01
polintr,Conscientiousness,anes16,0.12639764614965507,0.016408907268854828,ANES 2016,Interest,1.3291892145179738e-14,p < 0.01
poleff,Extraversion,anes16,0.051782731866608915,0.016756754480616743,ANES 2016,Efficacy,0.001999811999646229,p < 0.01
involvement,Agreeableness,anes16,0.05823921995262477,0.01678073748602414,ANES 2016,Involvement,5.192978120713581e-4,p < 0.01
polpar,Neuroticism,anes16,-0.03585688682315296,0.019602540255254673,ANES 2016,Participation,0.06737026217115624,p =  0.07
media,Openness,anes16,0.03074303912577742,0.016525890683183754,ANES 2016,Media use,0.06284373796816108,p =  0.06
poltr,Conscientiousness,anes16,0.05010188754568683,0.016695216351626425,ANES 2016,Political trust,0.00269118741485885,p < 0.01
knowledge,Extraversion,anes16,0.015125688317417844,0.016666049204094327,ANES 2016,Knowledge,0.36410284854121594,p =  0.36
ideology,Agreeableness,anes16,-0.023569080023583475,0.019044823836919876,ANES 2016,Left-right ideology,0.2158798804114069,p =  0.22
stfdem,Neuroticism,anes16,-0.11273579643175383,0.016654827232010172,ANES 2016,Sat. democracy,1.2971478089495241e-11,p < 0.01
polintr,Openness,anes16,0.11180464193037767,0.016433091592817237,ANES 2016,Interest,1.0201677068644788e-11,p < 0.01
poleff,Conscientiousness,anes16,0.024211375246731306,0.016805254501982215,ANES 2016,Efficacy,0.1496686966529873,p =  0.15
involvement,Extraversion,anes16,0.06239217870336975,0.01676475421724477,ANES 2016,Involvement,1.9794248485792174e-4,p < 0.01
polpar,Agreeableness,anes16,0.0443363293655501,0.019175260658913746,ANES 2016,Participation,0.020768699111068316,p =  0.02
media,Neuroticism,anes16,-0.08056526504320598,0.016453250730177102,ANES 2016,Media use,9.750067223872747e-7,p < 0.01
poltr,Openness,anes16,0.05518048902041329,0.016666063418404473,ANES 2016,Political trust,9.298009280667418e-4,p < 0.01
knowledge,Conscientiousness,anes16,0.16953652811567774,0.016442802410531702,ANES 2016,Knowledge,6.305142361363477e-25,p < 0.01
ideology,Extraversion,anes16,0.0032145169756047213,0.01846970969239645,ANES 2016,Left-right ideology,0.8618319542235586,p =  0.86
stfdem,Agreeableness,anes16,0.0875992333629943,0.016705002649525326,ANES 2016,Sat. democracy,1.572240678693302e-7,p < 0.01
polintr,Neuroticism,anes16,-0.11730168569562541,0.016405795483338887,ANES 2016,Interest,8.676834526816263e-13,p < 0.01
poleff,Openness,anes16,0.016177664114179927,0.01680685587265991,ANES 2016,Efficacy,0.335766678761769,p =  0.34
involvement,Conscientiousness,anes16,0.01851461038312611,0.01685299371611501,ANES 2016,Involvement,0.2719448696080062,p =  0.27
polpar,Extraversion,anes16,-0.009927830550887128,0.01908040396772859,ANES 2016,Participation,0.60284367170727,p =  0.6
media,Agreeableness,anes16,0.05078637898561225,0.01649499506789848,ANES 2016,Media use,0.0020776900125847103,p < 0.01
poltr,Neuroticism,anes16,0.019404535581115608,0.01666424295350891,ANES 2016,Political trust,0.2442451494317968,p =  0.24
knowledge,Openness,anes16,0.11485993286129254,0.016569216623350754,ANES 2016,Knowledge,4.145561679806492e-12,p < 0.01
ideology,Conscientiousness,anes16,0.09070535152108382,0.01945959392248964,ANES 2016,Left-right ideology,3.1434809954981217e-6,p < 0.01
stfdem,Extraversion,anes16,0.022795194349699902,0.016745963442045226,ANES 2016,Sat. democracy,0.17343938389200292,p =  0.17
polintr,Agreeableness,anes16,0.08346968253766145,0.016474809768239642,ANES 2016,Interest,4.0518915134115034e-7,p < 0.01
poleff,Neuroticism,anes16,-0.07062397127872685,0.016740840039248868,ANES 2016,Efficacy,2.457546995891688e-5,p < 0.01
involvement,Openness,anes16,0.1506711258633681,0.01663845860730496,ANES 2016,Involvement,1.3582648220783046e-19,p < 0.01
polpar,Conscientiousness,anes16,0.0476451372280784,0.020139914390037494,ANES 2016,Participation,0.01799567819829888,p =  0.02
media,Extraversion,anes16,0.03633691368641793,0.016504103545649684,ANES 2016,Media use,0.02768723949328729,p =  0.03
poltr,Agreeableness,anes16,0.03006908915406042,0.016677628304735435,ANES 2016,Political trust,0.07139456820362261,p =  0.07
knowledge,Neuroticism,anes16,-0.16127952915424046,0.01644370617147754,ANES 2016,Knowledge,1.04030887072498e-22,p < 0.01
ideology,Openness,bes,-0.14491738996056744,0.0070279374729830335,BES,Left-right ideology,1.8085543859677705e-94,p < 0.01
stfdem,Conscientiousness,bes,0.0898658864389182,0.006808891839731043,BES,Sat. democracy,8.972176803530115e-40,p < 0.01
polintr,Extraversion,bes,0.050851293342122614,0.0062641068201354615,BES,Interest,4.743813776885073e-16,p < 0.01
poleff,Agreeableness,bes,0.016981598496514882,0.006739648391935368,BES,Efficacy,0.011746942638885148,p =  0.01
involvement,Neuroticism,bes,-0.011711054548462989,0.007270695879148835,BES,Involvement,0.10724078604855104,p =  0.11
polpar,Openness,bes,0.009154221977759376,0.006134828445656832,BES,Participation,0.1356539433169035,p =  0.14
media,Conscientiousness,bes,0.028729375859431243,0.006744309815434348,BES,Media use,2.0461466791290313e-5,p < 0.01
poltr,Extraversion,bes,0.06315619468585842,0.012749766630801119,BES,Political trust,7.288372494002185e-7,p < 0.01
knowledge,Agreeableness,bes,-0.021835332251416706,0.006470462214287941,BES,Knowledge,7.39184676722239e-4,p < 0.01
ideology,Neuroticism,bes,-0.09040303291005762,0.007160627076946032,BES,Left-right ideology,1.537097982213295e-36,p < 0.01
stfdem,Openness,bes,-0.11975368175569985,0.0066951029515115055,BES,Sat. democracy,1.495625127497724e-71,p < 0.01
polintr,Conscientiousness,bes,0.03984041960298936,0.006334655405700393,BES,Interest,3.1894238096957085e-10,p < 0.01
poleff,Extraversion,bes,0.10795490544459341,0.006734149362127859,BES,Efficacy,7.766859040316962e-58,p < 0.01
involvement,Agreeableness,bes,0.008464002794067923,0.0072561753581205785,BES,Involvement,0.24343048978609838,p =  0.24
polpar,Neuroticism,bes,-0.04388606202654523,0.0061364962622643335,BES,Participation,8.574212546370554e-13,p < 0.01
media,Openness,bes,0.05013038480477114,0.006652527792313517,BES,Media use,4.863205921913805e-14,p < 0.01
poltr,Conscientiousness,bes,0.041099584456926956,0.012992474315459012,BES,Political trust,0.0015597126525387765,p < 0.01
knowledge,Extraversion,bes,-0.035597334025321184,0.006488691340054994,BES,Knowledge,4.1100307960842557e-8,p < 0.01
ideology,Agreeableness,bes,-0.039260189020723445,0.007147136910611459,BES,Left-right ideology,3.9486036851506524e-8,p < 0.01
stfdem,Neuroticism,bes,-0.08601688144015097,0.006780017106463506,BES,Sat. democracy,6.996616130353287e-37,p < 0.01
polintr,Openness,bes,0.09565914080914939,0.006243115999042973,BES,Interest,5.423020497286787e-53,p < 0.01
poleff,Conscientiousness,bes,0.053549891094666575,0.006848128043065403,BES,Efficacy,5.2974915722419756e-15,p < 0.01
involvement,Extraversion,bes,0.06735492781226379,0.0072708434285590606,BES,Involvement,1.974641185370887e-20,p < 0.01
polpar,Agreeableness,bes,0.041587661283755226,0.00610563889812502,BES,Participation,9.6685120649275e-12,p < 0.01
media,Neuroticism,bes,-0.012042091790921139,0.006698684956293285,BES,Media use,0.07222773688259897,p =  0.07
poltr,Openness,bes,-0.03558219190286318,0.012905791343462748,BES,Political trust,0.005832156399223266,p < 0.01
knowledge,Conscientiousness,bes,0.08242960166663321,0.006526211179959657,BES,Knowledge,1.4328305107282104e-36,p < 0.01
ideology,Extraversion,bes,0.011009529243831225,0.007078329899038717,BES,Left-right ideology,0.1198543675911326,p =  0.12
stfdem,Agreeableness,bes,0.058893117993021944,0.006764272593552154,BES,Sat. democracy,3.1341068324078594e-18,p < 0.01
polintr,Neuroticism,bes,-0.039177132490677016,0.00629027195682717,BES,Interest,4.717954658117494e-10,p < 0.01
poleff,Openness,bes,0.12440899325006305,0.006688172852127956,BES,Efficacy,3.1336172989907417e-77,p < 0.01
involvement,Conscientiousness,bes,-0.036557749695516124,0.007382030881668258,BES,Involvement,7.335581458100885e-7,p < 0.01
polpar,Extraversion,bes,0.007975675881412644,0.00614009772080541,BES,Participation,0.19396131542112205,p =  0.19
media,Agreeableness,bes,0.022665352555773417,0.006683499299928339,BES,Media use,6.957705323582718e-4,p < 0.01
poltr,Neuroticism,bes,-0.10101632152401537,0.012968434991605573,BES,Political trust,6.732839081848534e-15,p < 0.01
knowledge,Openness,bes,0.0020517262182033224,0.006448843967082107,BES,Knowledge,0.7503680398008095,p =  0.75
ideology,Conscientiousness,bes,0.12868801733149637,0.007110700545021534,BES,Left-right ideology,3.3166854487513995e-73,p < 0.01
stfdem,Extraversion,bes,0.005535729816565851,0.006750912477697132,BES,Sat. democracy,0.412217662218292,p =  0.41
polintr,Agreeableness,bes,0.007881589385429915,0.006265217754432904,BES,Interest,0.2083949050754094,p =  0.21
poleff,Neuroticism,bes,-0.11051658677347981,0.006734522227768544,BES,Efficacy,1.6098937502393138e-60,p < 0.01
involvement,Openness,bes,0.12100881069461525,0.007202295868953913,BES,Involvement,2.3826358983885714e-63,p < 0.01
polpar,Conscientiousness,bes,0.040233702319928,0.006228660106366823,BES,Participation,1.0508600499555508e-10,p < 0.01
media,Extraversion,bes,0.07774004721063127,0.006652503090043586,BES,Media use,1.5059394392507566e-31,p < 0.01
poltr,Agreeableness,bes,0.0354853735018928,0.012889736789511289,BES,Political trust,0.005905290212017838,p < 0.01
knowledge,Neuroticism,bes,-0.12337323428501328,0.0064845918375882085,BES,Knowledge,1.0468720945365274e-80,p < 0.01
ideology,Openness,liss,-0.09004704957574831,0.014459443877283264,LISS,Left-right ideology,4.737563218836302e-10,p < 0.01
stfdem,Conscientiousness,liss,0.05080432835442722,0.013753484268294033,LISS,Sat. democracy,2.2081965235443317e-4,p < 0.01
polintr,Extraversion,liss,0.13030812471238218,0.013325249485284364,LISS,Interest,1.3852047993173044e-22,p < 0.01
poleff,Agreeableness,liss,0.058651938221329886,0.013428062945828259,LISS,Efficacy,1.2546819835005544e-5,p < 0.01
involvement,Neuroticism,liss,-0.05004198155446378,0.01344097910940328,LISS,Involvement,1.967989440862774e-4,p < 0.01
polpar,Openness,liss,0.10605763061659751,0.014562911123278703,LISS,Participation,3.271513848994348e-13,p < 0.01
media,Conscientiousness,liss,0.04235986588929191,0.013425322004775243,LISS,Media use,0.0016037624675887061,p < 0.01
poltr,Extraversion,liss,0.032740193403367826,0.013555173637203117,LISS,Political trust,0.015721036079189326,p =  0.02
knowledge,Agreeableness,liss,NA,NA,LISS,Knowledge,NA,p =  NA
ideology,Neuroticism,liss,-0.04002949020175571,0.014551153425002255,LISS,Left-right ideology,0.005942277876348949,p < 0.01
stfdem,Openness,liss,0.13078162794218398,0.013702856291879777,LISS,Sat. democracy,1.372754323648316e-21,p < 0.01
polintr,Conscientiousness,liss,0.09092934075437646,0.013384755702302385,LISS,Interest,1.0944507415442157e-11,p < 0.01
poleff,Extraversion,liss,0.15660321106524977,0.013288921041177931,LISS,Efficacy,4.692293065653531e-32,p < 0.01
involvement,Agreeableness,liss,0.0341351003548707,0.013449291787667784,LISS,Involvement,0.011146908891668687,p =  0.01
polpar,Neuroticism,liss,-0.05154270348333442,0.01478460507332625,LISS,Participation,4.898585958092549e-4,p < 0.01
media,Openness,liss,0.18575366634119578,0.013202236162964984,LISS,Media use,5.818124361223181e-45,p < 0.01
poltr,Conscientiousness,liss,0.08025919360836746,0.013551639742917638,LISS,Political trust,3.1713971311077452e-9,p < 0.01
knowledge,Extraversion,liss,NA,NA,LISS,Knowledge,NA,p =  NA
ideology,Agreeableness,liss,-0.10342841453712222,0.014429510475056608,LISS,Left-right ideology,7.619057287873116e-13,p < 0.01
stfdem,Neuroticism,liss,-0.12547450698515866,0.013712729861508663,LISS,Sat. democracy,5.681726114786417e-20,p < 0.01
polintr,Openness,liss,0.2949970471527401,0.01283733066863724,LISS,Interest,7.452763427735711e-117,p < 0.01
poleff,Conscientiousness,liss,0.05036408049985296,0.013434048147753648,LISS,Efficacy,1.7754983260487067e-4,p < 0.01
involvement,Extraversion,liss,0.1269836957052828,0.013350091688908189,LISS,Involvement,1.873519058317794e-21,p < 0.01
polpar,Agreeableness,liss,0.03834645185209817,0.014758856200719555,LISS,Participation,0.00937140471380819,p < 0.01
media,Neuroticism,liss,-0.1138132571084909,0.013350358466784234,LISS,Media use,1.526663833021053e-17,p < 0.01
poltr,Openness,liss,0.07673097304476634,0.01353552140615047,LISS,Political trust,1.437509395498771e-8,p < 0.01
knowledge,Conscientiousness,liss,NA,NA,LISS,Knowledge,NA,p =  NA
ideology,Extraversion,liss,0.03101240763107537,0.014434431510684334,LISS,Left-right ideology,0.03167388304886845,p =  0.03
stfdem,Agreeableness,liss,0.07037845381200346,0.013735705600461674,LISS,Sat. democracy,2.995027581901766e-7,p < 0.01
polintr,Neuroticism,liss,-0.119721997134048,0.013341504124692696,LISS,Interest,2.868460216563345e-19,p < 0.01
poleff,Openness,liss,0.36068328319590726,0.01253768600824577,LISS,Efficacy,5.4049165714182996e-182,p < 0.01
involvement,Conscientiousness,liss,-0.007488695956690945,0.013454035391623865,LISS,Involvement,0.5777916180793924,p =  0.58
polpar,Extraversion,liss,0.0033472794721808806,0.014829015350814953,LISS,Participation,0.821415313606604,p =  0.82
media,Agreeableness,liss,0.014868035040352246,0.013437349066813958,LISS,Media use,0.2685227743597431,p =  0.27
poltr,Neuroticism,liss,-0.1158549015057193,0.013481908793763485,LISS,Political trust,8.446207185403561e-18,p < 0.01
knowledge,Openness,liss,NA,NA,LISS,Knowledge,NA,p =  NA
