outcome,trait,dataset,est,se,Data,name,pval,pval_text
ideology,Conscientiousness,liss,0.0799699611151325,0.014432003862732237,LISS,Left-right ideology,3.004841944686316e-8,p < 0.01
stfdem,Extraversion,liss,0.053960326428660534,0.013726990538263434,LISS,Sat. democracy,8.460540805369894e-5,p < 0.01
polintr,Agreeableness,liss,0.06430667418334524,0.013409390775777361,LISS,Interest,1.6215244568909982e-6,p < 0.01
poleff,Neuroticism,liss,-0.15303461980045613,0.013293304903222836,LISS,Efficacy,1.1457556924179678e-30,p < 0.01
involvement,Openness,liss,0.21566619728812483,0.01312744137577449,LISS,Involvement,1.1927641525373143e-60,p < 0.01
polpar,Conscientiousness,liss,0.050183519718986026,0.014957034597880054,LISS,Participation,7.931381158207934e-4,p < 0.01
media,Extraversion,liss,0.089226928309913,0.013387231510312163,LISS,Media use,2.6452670041087712e-11,p < 0.01
poltr,Agreeableness,liss,0.06786335171059633,0.013518947657039466,LISS,Political trust,5.170662074171208e-7,p < 0.01
knowledge,Neuroticism,liss,NA,NA,LISS,Knowledge,NA,p =  NA
ideology,Openness,shp,-0.1236874486734273,0.013082214948613214,SHP,Left-right ideology,3.241789987226434e-21,p < 0.01
stfdem,Conscientiousness,shp,-0.0037370800094011576,0.012465244935000086,SHP,Sat. democracy,0.7643297411555061,p =  0.76
polintr,Extraversion,shp,-0.021845968080356673,0.012085170099460979,SHP,Interest,0.07065828042352265,p =  0.07
poleff,Agreeableness,shp,NA,NA,SHP,Efficacy,NA,p =  NA
involvement,Neuroticism,shp,NA,NA,SHP,Involvement,NA,p =  NA
polpar,Openness,shp,0.07470691216956825,0.013042382737231812,SHP,Participation,1.0161496143558813e-8,p < 0.01
media,Conscientiousness,shp,NA,NA,SHP,Media use,NA,p =  NA
poltr,Extraversion,shp,0.01255915826087259,0.0122116101335567,SHP,Political trust,0.30373327775932213,p =  0.3
knowledge,Agreeableness,shp,NA,NA,SHP,Knowledge,NA,p =  NA
ideology,Neuroticism,shp,-0.08828076112841847,0.012931991764789793,SHP,Left-right ideology,8.698695236558069e-12,p < 0.01
stfdem,Openness,shp,0.03463210760565356,0.012327283298124112,SHP,Sat. democracy,0.004963596345855482,p < 0.01
polintr,Conscientiousness,shp,0.021372568117666066,0.012337400134874835,SHP,Interest,0.08321309640219353,p =  0.08
poleff,Extraversion,shp,NA,NA,SHP,Efficacy,NA,p =  NA
involvement,Agreeableness,shp,NA,NA,SHP,Involvement,NA,p =  NA
polpar,Neuroticism,shp,-0.04934699770588716,0.012961174806240615,SHP,Participation,1.404959193794141e-4,p < 0.01
media,Openness,shp,NA,NA,SHP,Media use,NA,p =  NA
poltr,Conscientiousness,shp,0.010182196267188257,0.012483167602269226,SHP,Political trust,0.41468656671412935,p =  0.41
knowledge,Extraversion,shp,NA,NA,SHP,Knowledge,NA,p =  NA
ideology,Agreeableness,shp,-0.005355509488881051,0.013187656250919144,SHP,Left-right ideology,0.684668998430463,p =  0.68
stfdem,Neuroticism,shp,-0.0553506463679378,0.01223549836412756,SHP,Sat. democracy,6.074619022072832e-6,p < 0.01
polintr,Openness,shp,0.13501914784051383,0.012074109192201065,SHP,Interest,4.965114859521024e-29,p < 0.01
poleff,Conscientiousness,shp,NA,NA,SHP,Efficacy,NA,p =  NA
involvement,Extraversion,shp,NA,NA,SHP,Involvement,NA,p =  NA
polpar,Agreeableness,shp,0.0350667074930807,0.013019252192723206,SHP,Participation,0.007071670779875594,p < 0.01
media,Neuroticism,shp,NA,NA,SHP,Media use,NA,p =  NA
poltr,Openness,shp,0.024075370683615534,0.012354246176021558,SHP,Political trust,0.051324964012982484,p =  0.05
knowledge,Conscientiousness,shp,NA,NA,SHP,Knowledge,NA,p =  NA
ideology,Extraversion,shp,0.05620612865073386,0.012919171887084021,SHP,Left-right ideology,1.3576650630272993e-5,p < 0.01
stfdem,Agreeableness,shp,0.07241922243329199,0.012261733105049697,SHP,Sat. democracy,3.5026662911169015e-9,p < 0.01
polintr,Neuroticism,shp,-0.05251780742266074,0.012148135595215631,SHP,Interest,1.5384032947182143e-5,p < 0.01
poleff,Openness,shp,NA,NA,SHP,Efficacy,NA,p =  NA
involvement,Conscientiousness,shp,NA,NA,SHP,Involvement,NA,p =  NA
polpar,Extraversion,shp,-0.012558742597707437,0.012911272610673867,SHP,Participation,0.33070443795349663,p =  0.33
media,Agreeableness,shp,NA,NA,SHP,Media use,NA,p =  NA
poltr,Neuroticism,shp,-0.04303787576100054,0.012270973677278316,SHP,Political trust,4.5269377387325226e-4,p < 0.01
knowledge,Openness,shp,NA,NA,SHP,Knowledge,NA,p =  NA
ideology,Conscientiousness,shp,0.10216600220760935,0.013229485736505472,SHP,Left-right ideology,1.139820783919312e-14,p < 0.01
stfdem,Extraversion,shp,0.014568665246205263,0.012183511353464184,SHP,Sat. democracy,0.23178671454472094,p =  0.23
polintr,Agreeableness,shp,0.0014519775970248683,0.01218386737954145,SHP,Interest,0.9051389752713023,p =  0.91
poleff,Neuroticism,shp,NA,NA,SHP,Efficacy,NA,p =  NA
involvement,Openness,shp,NA,NA,SHP,Involvement,NA,p =  NA
polpar,Conscientiousness,shp,0.06982695893910021,0.013265125493019154,SHP,Participation,1.409927168539909e-7,p < 0.01
media,Extraversion,shp,NA,NA,SHP,Media use,NA,p =  NA
poltr,Agreeableness,shp,0.10153173970015796,0.012262615139060615,SHP,Political trust,1.2340438983014475e-16,p < 0.01
knowledge,Neuroticism,shp,NA,NA,SHP,Knowledge,NA,p =  NA
ideology,Openness,lapop,-0.023602636598249634,0.006330782999756286,LAPOP,Left-right ideology,1.928267563624073e-4,p < 0.01
stfdem,Conscientiousness,lapop,0.1258367999115212,0.0054372845633729435,LAPOP,Sat. democracy,1.6974477932570232e-118,p < 0.01
polintr,Extraversion,lapop,0.08764675908135175,0.005352164054750638,LAPOP,Interest,2.840479491030676e-60,p < 0.01
poleff,Agreeableness,lapop,-0.0060873802364658286,0.005549472135788777,LAPOP,Efficacy,0.2726721692025895,p =  0.27
involvement,Neuroticism,lapop,0.008119245949991203,0.005505044048805418,LAPOP,Involvement,0.14024644047301887,p =  0.14
polpar,Openness,lapop,0.02713505353105591,0.005438566797959759,LAPOP,Participation,6.057470714906278e-7,p < 0.01
media,Conscientiousness,lapop,0.09365728805167566,0.005536242631329758,LAPOP,Media use,3.364798040135602e-64,p < 0.01
poltr,Extraversion,lapop,-0.05490518680681445,0.005293064614410006,LAPOP,Political trust,3.288817407617607e-25,p < 0.01
knowledge,Agreeableness,lapop,0.01588214840071679,0.005922172788257548,LAPOP,Knowledge,0.007322480628683637,p < 0.01
ideology,Neuroticism,lapop,-0.013920648347733598,0.006439019679876149,LAPOP,Left-right ideology,0.03062430813624794,p =  0.03
stfdem,Openness,lapop,0.1413953022159112,0.005396575617042894,LAPOP,Sat. democracy,2.5933074462248434e-151,p < 0.01
polintr,Conscientiousness,lapop,0.02446809007243695,0.00533301673715653,LAPOP,Interest,4.474285446234645e-6,p < 0.01
poleff,Extraversion,lapop,0.00944990181397289,0.005560428738341073,LAPOP,Efficacy,0.08922659998892307,p =  0.09
involvement,Agreeableness,lapop,-0.0025237618994425723,0.005585286658770852,LAPOP,Involvement,0.6513705813080318,p =  0.65
polpar,Neuroticism,lapop,-0.041929063140243146,0.00544950619384494,LAPOP,Participation,1.424899955833559e-14,p < 0.01
media,Openness,lapop,0.10507559998417995,0.005428231215821509,LAPOP,Media use,1.771084440025887e-83,p < 0.01
poltr,Conscientiousness,lapop,0.011116974846364522,0.005254757839094455,LAPOP,Political trust,0.034378693442073546,p =  0.03
knowledge,Extraversion,lapop,0.05512986040081694,0.005944216299607578,LAPOP,Knowledge,1.783903265633897e-20,p < 0.01
ideology,Agreeableness,lapop,0.03278070708469589,0.006494555228716463,LAPOP,Left-right ideology,4.4783093002021533e-7,p < 0.01
stfdem,Neuroticism,lapop,-0.09805418293877453,0.005429258747740765,LAPOP,Sat. democracy,6.543501927354957e-73,p < 0.01
polintr,Openness,lapop,0.09832448094976486,0.005244136369823405,LAPOP,Interest,1.9573793868004845e-78,p < 0.01
poleff,Conscientiousness,lapop,0.013122021493150117,0.0055001791636915785,LAPOP,Efficacy,0.017044594013227134,p =  0.02
involvement,Extraversion,lapop,0.038841902418296506,0.005581250274625548,LAPOP,Involvement,3.4183396223318764e-12,p < 0.01
polpar,Agreeableness,lapop,0.041372640220559524,0.00552161673558467,LAPOP,Participation,6.739444203215638e-14,p < 0.01
media,Neuroticism,lapop,-0.052993819110023946,0.005536152026264523,LAPOP,Media use,1.0453310573243861e-21,p < 0.01
poltr,Openness,lapop,-0.04896828267854718,0.005205108178450498,LAPOP,Political trust,5.06939031206164e-21,p < 0.01
knowledge,Conscientiousness,lapop,0.03887228912651872,0.00596481230892539,LAPOP,Knowledge,7.175890090175028e-11,p < 0.01
ideology,Extraversion,lapop,-0.01715962253069662,0.00656059816376716,LAPOP,Left-right ideology,0.008908188897353229,p < 0.01
stfdem,Agreeableness,lapop,0.08235929879740611,0.0055084283843797556,LAPOP,Sat. democracy,1.5226686010154941e-50,p < 0.01
polintr,Neuroticism,lapop,-0.01563893487054348,0.005301400266522014,LAPOP,Interest,0.0031781194127923737,p < 0.01
poleff,Openness,lapop,0.020965862252431633,0.005460681545308602,LAPOP,Efficacy,1.2332417266309358e-4,p < 0.01
involvement,Conscientiousness,lapop,0.0184237036086583,0.005551697474273149,LAPOP,Involvement,9.047923739028339e-4,p < 0.01
polpar,Extraversion,lapop,0.03498841438152699,0.005528347245073514,LAPOP,Participation,2.4689841583737253e-10,p < 0.01
media,Agreeableness,lapop,0.041707772599893576,0.0055811143717066185,LAPOP,Media use,7.837564762694988e-14,p < 0.01
poltr,Neuroticism,lapop,-0.025940005044607046,0.005229380964645678,LAPOP,Political trust,7.033544726510373e-7,p < 0.01
knowledge,Openness,lapop,0.10230318351232849,0.005912846175017284,LAPOP,Knowledge,4.555153726541677e-67,p < 0.01
ideology,Conscientiousness,lapop,0.019930468991734326,0.0063325665519553525,LAPOP,Left-right ideology,0.0016478737199921193,p < 0.01
stfdem,Extraversion,lapop,0.091672403312007,0.005515155340248839,LAPOP,Sat. democracy,4.836865690472501e-62,p < 0.01
polintr,Agreeableness,lapop,-0.039639239284525375,0.005360217320703865,LAPOP,Interest,1.4132249274765516e-13,p < 0.01
poleff,Neuroticism,lapop,-0.030957957341666502,0.005476590741892356,LAPOP,Efficacy,1.5787420771065824e-8,p < 0.01
involvement,Openness,lapop,0.02248376413139119,0.0054874489477796,LAPOP,Involvement,4.179840276535592e-5,p < 0.01
polpar,Conscientiousness,lapop,0.06350573722319923,0.005477619093351927,LAPOP,Participation,4.436771894426021e-31,p < 0.01
media,Extraversion,lapop,0.07435090333701641,0.005537590478959394,LAPOP,Media use,4.2247468735393257e-41,p < 0.01
poltr,Agreeableness,lapop,0.04916381312888119,0.005282490447898776,LAPOP,Political trust,1.3157016556701348e-20,p < 0.01
knowledge,Neuroticism,lapop,-0.03773711522901764,0.005856262130273404,LAPOP,Knowledge,1.1644867963757385e-10,p < 0.01
ideology,Openness,sels,-0.1612959140404698,0.012238089799084834,SELECTS,Left-right ideology,1.1465248277171741e-39,p < 0.01
stfdem,Conscientiousness,sels,4.6415204491333527e-4,0.01166612134636782,SELECTS,Sat. democracy,0.968263482117306,p =  0.97
polintr,Extraversion,sels,0.08328511173580752,0.011443734780151472,SELECTS,Interest,3.3933009997988855e-13,p < 0.01
poleff,Agreeableness,sels,0.08102073480929926,0.01274868124482512,SELECTS,Efficacy,2.0812207657121385e-10,p < 0.01
involvement,Neuroticism,sels,-0.031219496751952566,0.01180996389946958,SELECTS,Involvement,0.00820566967364912,p < 0.01
polpar,Openness,sels,0.02961616328514,0.011113717055580228,SELECTS,Participation,0.007702731923223035,p < 0.01
media,Conscientiousness,sels,0.10451583684002654,0.011645478408254015,SELECTS,Media use,2.838676510402511e-19,p < 0.01
poltr,Extraversion,sels,0.026869500486370386,0.011728070728804503,SELECTS,Political trust,0.02196099515150252,p =  0.02
knowledge,Agreeableness,sels,-0.015507568469435356,0.012587578992414344,SELECTS,Knowledge,0.2179588432337725,p =  0.22
ideology,Neuroticism,sels,-0.04899915269907776,0.012269789816426409,SELECTS,Left-right ideology,6.511074179353161e-5,p < 0.01
stfdem,Openness,sels,-0.03355121814687663,0.011643574774520044,SELECTS,Sat. democracy,0.003957594680128319,p < 0.01
polintr,Conscientiousness,sels,0.029750223358958466,0.011516397403312012,SELECTS,Interest,0.009786230717660356,p < 0.01
poleff,Extraversion,sels,0.01588105359857109,0.012764131325889464,SELECTS,Efficacy,0.21342822948664486,p =  0.21
involvement,Agreeableness,sels,-0.0057786284035414,0.011796505449116772,SELECTS,Involvement,0.6242334349651852,p =  0.62
polpar,Neuroticism,sels,-0.07049908066791555,0.011077733150723855,SELECTS,Participation,1.9652142274707816e-10,p < 0.01
media,Openness,sels,0.020205584162511014,0.011685367673272676,SELECTS,Media use,0.0837848455235816,p =  0.08
poltr,Conscientiousness,sels,0.022926671577917366,0.01178068187514255,SELECTS,Political trust,0.051639807120590936,p =  0.05
knowledge,Extraversion,sels,0.01605676057743549,0.012560840164398148,SELECTS,Knowledge,0.20113697288528198,p =  0.2
ideology,Agreeableness,sels,-0.11089222900325638,0.012251672849221192,SELECTS,Left-right ideology,1.41417555726039e-19,p < 0.01
stfdem,Neuroticism,sels,-0.04280513721498985,0.01162863201464655,SELECTS,Sat. democracy,2.3230981726584505e-4,p < 0.01
polintr,Openness,sels,0.10519462997818682,0.011447770134640638,SELECTS,Interest,3.961657789526203e-20,p < 0.01
poleff,Conscientiousness,sels,-0.05533964735123017,0.012926210608994713,SELECTS,Efficacy,1.8589113822128607e-5,p < 0.01
involvement,Extraversion,sels,0.10593080810937436,0.0117231535616132,SELECTS,Involvement,1.6245994163264383e-19,p < 0.01
polpar,Agreeableness,sels,-0.0018301779067852147,0.011095310239343494,SELECTS,Participation,0.8689828771743565,p =  0.87
media,Neuroticism,sels,-0.04176608948488237,0.01165729745927847,SELECTS,Media use,3.398946752507602e-4,p < 0.01
poltr,Openness,sels,0.04834356042331157,0.0117644215840503,SELECTS,Political trust,3.968569160027261e-5,p < 0.01
knowledge,Conscientiousness,sels,0.01604601248772857,0.012712028626785474,SELECTS,Knowledge,0.20685164463771288,p =  0.21
ideology,Extraversion,sels,0.031394500103326894,0.012346248447776344,SELECTS,Left-right ideology,0.010995644062456423,p =  0.01
stfdem,Agreeableness,sels,0.07051239485349275,0.011601550320000827,SELECTS,Sat. democracy,1.218103563679006e-9,p < 0.01
polintr,Neuroticism,sels,-0.10086719078492169,0.011447606885252959,SELECTS,Interest,1.2380967161362608e-18,p < 0.01
poleff,Openness,sels,0.013297310663949867,0.012855339658730215,SELECTS,Efficacy,0.30095838956310694,p =  0.3
involvement,Conscientiousness,sels,4.4937739521313e-4,0.01182596818570534,SELECTS,Involvement,0.9696883154988362,p =  0.97
polpar,Extraversion,sels,-0.005119652949995725,0.011086533411469724,SELECTS,Participation,0.6442317490108069,p =  0.64
media,Agreeableness,sels,0.03851869098909192,0.011650726387296705,SELECTS,Media use,9.459781263501656e-4,p < 0.01
poltr,Neuroticism,sels,-0.03827577231659669,0.01175853341558509,SELECTS,Political trust,0.0011333309271565914,p < 0.01
knowledge,Openness,sels,0.031348653912718814,0.012624254155966316,SELECTS,Knowledge,0.013020488999162425,p =  0.01
ideology,Conscientiousness,sels,0.1379930755404304,0.01228608150686523,SELECTS,Left-right ideology,2.8507563077390856e-29,p < 0.01
stfdem,Extraversion,sels,0.021846085725093414,0.011614249595639994,SELECTS,Sat. democracy,0.05997564073048494,p =  0.06
polintr,Agreeableness,sels,-0.004983429076547307,0.01149500537912399,SELECTS,Interest,0.6646298146155503,p =  0.66
poleff,Neuroticism,sels,-0.02458808402740816,0.012850652479785974,SELECTS,Efficacy,0.055700392625192406,p =  0.06
involvement,Openness,sels,0.15023148468578051,0.0116971676771951,SELECTS,Involvement,9.366012105034157e-38,p < 0.01
polpar,Conscientiousness,sels,0.0605705879310499,0.011096679445888673,SELECTS,Participation,4.803290621188951e-8,p < 0.01
media,Extraversion,sels,0.07055746718347619,0.011623976361851631,SELECTS,Media use,1.2791500079831777e-9,p < 0.01
poltr,Agreeableness,sels,0.13945917782495634,0.01163125058318292,SELECTS,Political trust,4.0070409970017614e-33,p < 0.01
knowledge,Neuroticism,sels,-0.09340724420251983,0.012595454554286937,SELECTS,Knowledge,1.2075728347173842e-13,p < 0.01
ideology,Openness,nzes,-0.1503082182469159,0.0220638150529314,NZES,Left-right ideology,9.596306943733364e-12,p < 0.01
stfdem,Conscientiousness,nzes,0.118903621507736,0.020823656977272818,NZES,Sat. democracy,1.1295895526195098e-8,p < 0.01
polintr,Extraversion,nzes,0.13066307356823312,0.02011710822863318,NZES,Interest,8.296611296196654e-11,p < 0.01
poleff,Agreeableness,nzes,0.10432009702335286,0.021856108073340444,NZES,Efficacy,1.8146495084466144e-6,p < 0.01
involvement,Neuroticism,nzes,-0.029744905260013443,0.021905541473830992,NZES,Involvement,0.17450453748815764,p =  0.17
polpar,Openness,nzes,-0.00978092611438965,0.01934317845814515,NZES,Participation,0.6131006348060308,p =  0.61
media,Conscientiousness,nzes,0.03585532719745946,0.024114679384426546,NZES,Media use,0.1370498735583888,p =  0.14
poltr,Extraversion,nzes,NA,NA,NZES,Political trust,NA,p =  NA
knowledge,Agreeableness,nzes,0.01114621828091957,0.019768184230105814,NZES,Knowledge,0.5728587130890415,p =  0.57
ideology,Neuroticism,nzes,-0.05426573711778835,0.02246771895433966,NZES,Left-right ideology,0.015723300414781954,p =  0.02
stfdem,Openness,nzes,-0.047121270778267395,0.020594317870963646,NZES,Sat. democracy,0.02213336047391167,p =  0.02
polintr,Conscientiousness,nzes,0.10927628544689667,0.02028395972433475,NZES,Interest,7.151400853525246e-8,p < 0.01
poleff,Extraversion,nzes,0.08934896000514628,0.021650730123779223,NZES,Efficacy,3.67792360423001e-5,p < 0.01
involvement,Agreeableness,nzes,-0.023379958444637673,0.021971874255869692,NZES,Involvement,0.28728985258648265,p =  0.29
polpar,Neuroticism,nzes,-0.017718438166751498,0.01940871035731566,NZES,Participation,0.36128899982587426,p =  0.36
media,Openness,nzes,0.07798842549133178,0.02403726738038881,NZES,Media use,0.001176654138265695,p < 0.01
poltr,Conscientiousness,nzes,NA,NA,NZES,Political trust,NA,p =  NA
knowledge,Extraversion,nzes,0.008599414736060408,0.019619180834169126,NZES,Knowledge,0.6611567166106707,p =  0.66
ideology,Agreeableness,nzes,0.01611967652724843,0.022189123898414268,NZES,Left-right ideology,0.4675522473706798,p =  0.47
stfdem,Neuroticism,nzes,-0.10124106782823869,0.020743300624691423,NZES,Sat. democracy,1.057295772244406e-6,p < 0.01
polintr,Openness,nzes,0.12792741668803703,0.020185099391422663,NZES,Interest,2.331969604917585e-10,p < 0.01
poleff,Conscientiousness,nzes,0.15943519553380633,0.022023416700034965,NZES,Efficacy,4.5084414123412234e-13,p < 0.01
involvement,Extraversion,nzes,0.05780067138292347,0.021588502554553187,NZES,Involvement,0.007419995062697861,p < 0.01
polpar,Agreeableness,nzes,0.0037787265479927107,0.0193952845675687,NZES,Participation,0.8455283261651351,p =  0.85
media,Neuroticism,nzes,-0.07615286529420603,0.024020502917464832,NZES,Media use,0.0015226711752094153,p < 0.01
poltr,Openness,nzes,NA,NA,NZES,Political trust,NA,p =  NA
knowledge,Conscientiousness,nzes,0.04918027414835103,0.019738628298070292,NZES,Knowledge,0.012717808900345242,p =  0.01
ideology,Extraversion,nzes,0.05183854206920605,0.02190023733223754,NZES,Left-right ideology,0.017931427696828817,p =  0.02
stfdem,Agreeableness,nzes,0.08571517031309213,0.020624497403060695,NZES,Sat. democracy,3.238843707136018e-5,p < 0.01
polintr,Neuroticism,nzes,-0.09412669741235834,0.020389087710446056,NZES,Interest,3.902223271129003e-6,p < 0.01
poleff,Openness,nzes,0.022954976372842866,0.02177858732634868,NZES,Efficacy,0.29187565758240674,p =  0.29
involvement,Conscientiousness,nzes,-0.020223025511362038,0.021982167117529816,NZES,Involvement,0.3575862678375486,p =  0.36
polpar,Extraversion,nzes,-0.0036853861089604805,0.01924859352737707,NZES,Participation,0.8481631652696634,p =  0.85
media,Agreeableness,nzes,0.004246403479985465,0.023643553034274997,NZES,Media use,0.8574658955559562,p =  0.86
poltr,Neuroticism,nzes,NA,NA,NZES,Political trust,NA,p =  NA
knowledge,Openness,nzes,-0.002561198107718556,0.019717203515843572,NZES,Knowledge,0.8966482178737083,p =  0.9
ideology,Conscientiousness,nzes,0.1459150172363605,0.022178895237604055,NZES,Left-right ideology,4.736133709532343e-11,p < 0.01
stfdem,Extraversion,nzes,0.03135862742554938,0.020506717382188955,NZES,Sat. democracy,0.126217829045575,p =  0.13
polintr,Agreeableness,nzes,-0.00454719974154869,0.02038040395630406,NZES,Interest,0.8234450147432426,p =  0.82
poleff,Neuroticism,nzes,-0.15219865869264287,0.021852775607620726,NZES,Efficacy,3.2903665354190425e-12,p < 0.01
involvement,Openness,nzes,0.07972837567357294,0.02197403517208965,NZES,Involvement,2.852944458273319e-4,p < 0.01
polpar,Conscientiousness,nzes,0.04652272445410251,0.019366916425857677,NZES,Participation,0.01629790495788848,p =  0.02
media,Extraversion,nzes,0.0735440122133313,0.02350621745084377,NZES,Media use,0.0017557868606448597,p < 0.01
poltr,Agreeableness,nzes,NA,NA,NZES,Political trust,NA,p =  NA
knowledge,Neuroticism,nzes,-0.07520909969994251,0.01972690146827801,NZES,Knowledge,1.3756010530161623e-4,p < 0.01
ideology,Openness,ces,-0.11253909571182227,0.017042886370741524,CES,Left-right ideology,4.0213584317196064e-11,p < 0.01
stfdem,Conscientiousness,ces,0.017591999218454613,0.01617780738096773,CES,Sat. democracy,0.27685320455637247,p =  0.28
polintr,Extraversion,ces,0.15063919022584607,0.016615125904734598,CES,Interest,1.2302693070308371e-19,p < 0.01
poleff,Agreeableness,ces,0.03836171953674078,0.01612890586191097,CES,Efficacy,0.017385818546927206,p =  0.02
involvement,Neuroticism,ces,0.04779667451347787,0.016318323464640017,CES,Involvement,0.003400339692300711,p < 0.01
polpar,Openness,ces,0.03458634167748885,0.02700604336274946,CES,Participation,0.20030293788055636,p =  0.2
media,Conscientiousness,ces,7.78081803427959e-4,0.017688168023188615,CES,Media use,0.9649133081934564,p =  0.96
poltr,Extraversion,ces,NA,NA,CES,Political trust,NA,p =  NA
knowledge,Agreeableness,ces,0.0021271425515680437,0.017518478884504998,CES,Knowledge,0.9033561680282818,p =  0.9
ideology,Neuroticism,ces,-0.024628806415018595,0.017032016972514073,CES,Left-right ideology,0.14816880548061703,p =  0.15
stfdem,Openness,ces,-0.02830272605415981,0.016279728235798634,CES,Sat. democracy,0.08211822431030799,p =  0.08
polintr,Conscientiousness,ces,0.010160073684696264,0.01676990641040835,CES,Interest,0.5446133389886596,p =  0.54
poleff,Extraversion,ces,0.03594635994739981,0.01620078586317159,CES,Efficacy,0.02650009760721999,p =  0.03
involvement,Agreeableness,ces,-0.09336382811613474,0.01622230501800691,CES,Involvement,8.650081297465016e-9,p < 0.01
polpar,Neuroticism,ces,-0.034494043036161735,0.026937600870075396,CES,Participation,0.2003635370527705,p =  0.2
media,Openness,ces,0.021543631373641507,0.01757626077373397,CES,Media use,0.22030284005451667,p =  0.22
poltr,Conscientiousness,ces,NA,NA,CES,Political trust,NA,p =  NA
knowledge,Extraversion,ces,0.010546655823575585,0.017569134835701977,CES,Knowledge,0.5483099527572106,p =  0.55
ideology,Agreeableness,ces,-0.041482067077902245,0.0170473923105931,CES,Left-right ideology,0.01496032933135452,p =  0.01
stfdem,Neuroticism,ces,-0.07700217097125936,0.01620215103636651,CES,Sat. democracy,2.008279415069667e-6,p < 0.01
polintr,Openness,ces,0.11387411320444624,0.0167196860750934,CES,Interest,9.707059129924045e-12,p < 0.01
poleff,Conscientiousness,ces,-0.014773693970160972,0.016320086042308335,CES,Efficacy,0.36533503301381004,p =  0.37
involvement,Extraversion,ces,0.1381482777839788,0.016191658801598546,CES,Involvement,1.437588220978858e-17,p < 0.01
polpar,Agreeableness,ces,-0.015099377340272512,0.027073917929462815,CES,Participation,0.5770428676615573,p =  0.58
media,Neuroticism,ces,-0.09258067870969805,0.017520481943678338,CES,Media use,1.262966718388336e-7,p < 0.01
poltr,Openness,ces,NA,NA,CES,Political trust,NA,p =  NA
knowledge,Conscientiousness,ces,0.10000987151998325,0.017395193213118245,CES,Knowledge,8.962321885197826e-9,p < 0.01
ideology,Extraversion,ces,0.03744241313155972,0.017008566010055334,CES,Left-right ideology,0.027708734055594708,p =  0.03
stfdem,Agreeableness,ces,0.05860540105346405,0.01617671965873642,CES,Sat. democracy,2.914046060827031e-4,p < 0.01
polintr,Neuroticism,ces,-0.08009556077580751,0.01674336930160354,CES,Interest,1.7208187921041515e-6,p < 0.01
poleff,Openness,ces,0.02429151256964563,0.01624498131304475,CES,Efficacy,0.13482987020667947,p =  0.13
involvement,Conscientiousness,ces,-0.12642888266224347,0.016121643134057027,CES,Involvement,4.427789200496697e-15,p < 0.01
polpar,Extraversion,ces,0.058642535543906485,0.02699764205964746,CES,Participation,0.02984544731865108,p =  0.03
media,Agreeableness,ces,-0.018307364094359246,0.017572435693102285,CES,Media use,0.2974938430086232,p =  0.3
poltr,Neuroticism,ces,NA,NA,CES,Political trust,NA,p =  NA
knowledge,Openness,ces,0.08001630350231644,0.01754680597131039,CES,Knowledge,5.111381669241284e-6,p < 0.01
ideology,Conscientiousness,ces,0.014714030252968642,0.016959368316053904,CES,Left-right ideology,0.38561068886978966,p =  0.39
stfdem,Extraversion,ces,0.032222164522988817,0.016209663030553944,CES,Sat. democracy,0.04682974343719319,p =  0.05
polintr,Agreeableness,ces,-0.043256118681719906,0.016748161783311795,CES,Interest,0.009801964700374968,p < 0.01
poleff,Neuroticism,ces,-0.06353019190885582,0.01618507754857688,CES,Efficacy,8.664602007736156e-5,p < 0.01
involvement,Openness,ces,0.13854052989438936,0.016208537745177005,CES,Involvement,1.2591419290583494e-17,p < 0.01
polpar,Conscientiousness,ces,0.04278685045273158,0.026221931117143337,CES,Participation,0.10273847672938391,p =  0.1
media,Extraversion,ces,0.13379140548477622,0.01745134579382286,CES,Media use,1.7670084613405318e-14,p < 0.01
poltr,Agreeableness,ces,NA,NA,CES,Political trust,NA,p =  NA
knowledge,Neuroticism,ces,-0.12522855430929117,0.01744576724273364,CES,Knowledge,7.065449142526721e-13,p < 0.01
