outcome,trait,dataset,est,se,mod,Data,name,est_abs
stfdem,Extraversion,ces,-0.14828994321304825,0.0685664614395176,student,CES,Sat. democracy,0.14828994321304825
polintr,Agreeableness,ces,0.16208396741816253,0.08986391850525642,student,CES,Interest,0.16208396741816253
poleff,Neuroticism,ces,0.005123201588023075,0.07827747474440758,student,CES,Efficacy,0.005123201588023075
involvement,Openness,ces,-0.05845091883290136,0.0751668748464041,student,CES,Involvement,0.05845091883290136
polpar,Conscientiousness,ces,0.05581841826488175,0.1236546328337076,student,CES,Participation,0.05581841826488175
media,Extraversion,ces,0.14869012915714946,0.07206503140359188,student,CES,Media use,0.14869012915714946
poltr,Agreeableness,ces,NA,NA,student,CES,Political trust,NA
knowledge,Neuroticism,ces,0.18154279793367628,0.08407617114502663,student,CES,Knowledge,0.18154279793367628
ideology,Openness,anes1012,0.08446681572221947,0.07398879006552343,internet,ANES 2010-12,Left-right ideology,0.08446681572221947
stfdem,Conscientiousness,anes1012,NA,NA,internet,ANES 2010-12,Sat. democracy,NA
polintr,Extraversion,anes1012,0.13712326774004166,0.07975852277667383,internet,ANES 2010-12,Interest,0.13712326774004166
poleff,Agreeableness,anes1012,0.002372582563800282,0.0736675343609815,internet,ANES 2010-12,Efficacy,0.002372582563800282
involvement,Neuroticism,anes1012,-0.02996569477251794,0.08222831224993199,internet,ANES 2010-12,Involvement,0.02996569477251794
polpar,Openness,anes1012,0.04911420630713933,0.07737126995029096,internet,ANES 2010-12,Participation,0.04911420630713933
media,Conscientiousness,anes1012,0.0030547660665866845,0.07289621590652183,internet,ANES 2010-12,Media use,0.0030547660665866845
poltr,Extraversion,anes1012,NA,NA,internet,ANES 2010-12,Political trust,NA
knowledge,Agreeableness,anes1012,0.019707235026002846,0.07986366541072727,internet,ANES 2010-12,Knowledge,0.019707235026002846
ideology,Neuroticism,anes1012,-0.12571567530742142,0.08100909990458868,internet,ANES 2010-12,Left-right ideology,0.12571567530742142
stfdem,Openness,anes1012,NA,NA,internet,ANES 2010-12,Sat. democracy,NA
polintr,Conscientiousness,anes1012,-0.07328699316910858,0.0733280903637617,internet,ANES 2010-12,Interest,0.07328699316910858
poleff,Extraversion,anes1012,0.12870936370314026,0.07901272376025918,internet,ANES 2010-12,Efficacy,0.12870936370314026
involvement,Agreeableness,anes1012,0.003558205231158189,0.0758076307364603,internet,ANES 2010-12,Involvement,0.003558205231158189
polpar,Neuroticism,anes1012,0.022819255752190223,0.08606050220632064,internet,ANES 2010-12,Participation,0.022819255752190223
media,Openness,anes1012,-0.08633198304494413,0.07410175665814404,internet,ANES 2010-12,Media use,0.08633198304494413
poltr,Conscientiousness,anes1012,NA,NA,internet,ANES 2010-12,Political trust,NA
knowledge,Extraversion,anes1012,0.12599530954320962,0.08332619770532515,internet,ANES 2010-12,Knowledge,0.12599530954320962
ideology,Agreeableness,anes1012,-0.0685398976296947,0.07466085005064096,internet,ANES 2010-12,Left-right ideology,0.0685398976296947
stfdem,Neuroticism,anes1012,NA,NA,internet,ANES 2010-12,Sat. democracy,NA
polintr,Openness,anes1012,0.027475350167940314,0.0740029802961209,internet,ANES 2010-12,Interest,0.027475350167940314
poleff,Conscientiousness,anes1012,0.07490700377699752,0.07329009948480353,internet,ANES 2010-12,Efficacy,0.07490700377699752
involvement,Extraversion,anes1012,-0.047323640555034574,0.08116686436740346,internet,ANES 2010-12,Involvement,0.047323640555034574
polpar,Agreeableness,anes1012,-0.03311578760690751,0.07808553707593065,internet,ANES 2010-12,Participation,0.03311578760690751
media,Neuroticism,anes1012,0.09950962513064794,0.07991972596949913,internet,ANES 2010-12,Media use,0.09950962513064794
poltr,Openness,anes1012,NA,NA,internet,ANES 2010-12,Political trust,NA
knowledge,Conscientiousness,anes1012,0.02165046349805345,0.07620509747648799,internet,ANES 2010-12,Knowledge,0.02165046349805345
ideology,Extraversion,anes1012,0.17686309937553682,0.07989488230948788,internet,ANES 2010-12,Left-right ideology,0.17686309937553682
stfdem,Agreeableness,anes1012,NA,NA,internet,ANES 2010-12,Sat. democracy,NA
polintr,Neuroticism,anes1012,0.026654359096283952,0.08027339651551342,internet,ANES 2010-12,Interest,0.026654359096283952
poleff,Openness,anes1012,-0.053204009256009134,0.07360931518720157,internet,ANES 2010-12,Efficacy,0.053204009256009134
involvement,Conscientiousness,anes1012,0.061271353067447416,0.07620117534333057,internet,ANES 2010-12,Involvement,0.061271353067447416
polpar,Extraversion,anes1012,0.1020503482838608,0.08189536927334977,internet,ANES 2010-12,Participation,0.1020503482838608
media,Agreeableness,anes1012,-0.08132824397449008,0.07390098992142867,internet,ANES 2010-12,Media use,0.08132824397449008
poltr,Neuroticism,anes1012,NA,NA,internet,ANES 2010-12,Political trust,NA
knowledge,Openness,anes1012,0.15850608439584113,0.07810827854037188,internet,ANES 2010-12,Knowledge,0.15850608439584113
ideology,Conscientiousness,anes1012,-0.013199552431652764,0.07413223294177396,internet,ANES 2010-12,Left-right ideology,0.013199552431652764
stfdem,Extraversion,anes1012,NA,NA,internet,ANES 2010-12,Sat. democracy,NA
polintr,Agreeableness,anes1012,-0.03955789953080521,0.07420998933191314,internet,ANES 2010-12,Interest,0.03955789953080521
poleff,Neuroticism,anes1012,-0.047106424846467515,0.07985003636870977,internet,ANES 2010-12,Efficacy,0.047106424846467515
involvement,Openness,anes1012,0.172989954748465,0.07474393006986127,internet,ANES 2010-12,Involvement,0.172989954748465
polpar,Conscientiousness,anes1012,0.05890187837742078,0.07877897852764443,internet,ANES 2010-12,Participation,0.05890187837742078
media,Extraversion,anes1012,0.14538516825341088,0.07938293798102274,internet,ANES 2010-12,Media use,0.14538516825341088
poltr,Agreeableness,anes1012,NA,NA,internet,ANES 2010-12,Political trust,NA
knowledge,Neuroticism,anes1012,-0.055329833692516026,0.08469321671047775,internet,ANES 2010-12,Knowledge,0.055329833692516026
ideology,Openness,anes12,-0.06878523094800247,0.04369792652976708,internet,ANES 2012,Left-right ideology,0.06878523094800247
stfdem,Conscientiousness,anes12,-0.018406055425876998,0.038589659585234866,internet,ANES 2012,Sat. democracy,0.018406055425876998
polintr,Extraversion,anes12,0.08089626191539102,0.044511260796266085,internet,ANES 2012,Interest,0.08089626191539102
poleff,Agreeableness,anes12,0.04857758292333299,0.04205181727380612,internet,ANES 2012,Efficacy,0.04857758292333299
involvement,Neuroticism,anes12,-0.017260771569432867,0.04250802683671275,internet,ANES 2012,Involvement,0.017260771569432867
polpar,Openness,anes12,0.05113663012317719,0.06451557336054908,internet,ANES 2012,Participation,0.05113663012317719
media,Conscientiousness,anes12,0.08237196890545576,0.038350690968714476,internet,ANES 2012,Media use,0.08237196890545576
poltr,Extraversion,anes12,-0.010155485216007749,0.06774879624558887,internet,ANES 2012,Political trust,0.010155485216007749
knowledge,Agreeableness,anes12,-0.01148457629935642,0.04080521716237815,internet,ANES 2012,Knowledge,0.01148457629935642
ideology,Neuroticism,anes12,0.0251987404871013,0.048043593470481816,internet,ANES 2012,Left-right ideology,0.0251987404871013
stfdem,Openness,anes12,-0.030007845425026283,0.04095158208735241,internet,ANES 2012,Sat. democracy,0.030007845425026283
polintr,Conscientiousness,anes12,0.02282836095837167,0.03801349681072566,internet,ANES 2012,Interest,0.02282836095837167
poleff,Extraversion,anes12,0.026157486105972867,0.04507735481579537,internet,ANES 2012,Efficacy,0.026157486105972867
involvement,Agreeableness,anes12,0.001615808777811615,0.0413158208269524,internet,ANES 2012,Involvement,0.001615808777811615
polpar,Neuroticism,anes12,0.14782093905417598,0.06385722797900763,internet,ANES 2012,Participation,0.14782093905417598
media,Openness,anes12,-0.03248693419970683,0.040979679060861654,internet,ANES 2012,Media use,0.03248693419970683
poltr,Conscientiousness,anes12,0.028736819700910056,0.055331650260072765,internet,ANES 2012,Political trust,0.028736819700910056
knowledge,Extraversion,anes12,0.026473484086813368,0.04393139514059068,internet,ANES 2012,Knowledge,0.026473484086813368
ideology,Agreeableness,anes12,-0.06933261682512433,0.04583598956805598,internet,ANES 2012,Left-right ideology,0.06933261682512433
stfdem,Neuroticism,anes12,-0.021023506051401412,0.043296223927725634,internet,ANES 2012,Sat. democracy,0.021023506051401412
polintr,Openness,anes12,-0.01059692408159486,0.040379580053882196,internet,ANES 2012,Interest,0.01059692408159486
poleff,Conscientiousness,anes12,-0.017243903208787117,0.038653462027825006,internet,ANES 2012,Efficacy,0.017243903208787117
involvement,Extraversion,anes12,0.10206494135957753,0.04410041640093803,internet,ANES 2012,Involvement,0.10206494135957753
polpar,Agreeableness,anes12,-0.20511503713090531,0.06459667540291796,internet,ANES 2012,Participation,0.20511503713090531
media,Neuroticism,anes12,0.04581448422147178,0.04308834081099649,internet,ANES 2012,Media use,0.04581448422147178
poltr,Openness,anes12,0.013525664646344264,0.05865265210047558,internet,ANES 2012,Political trust,0.013525664646344264
knowledge,Conscientiousness,anes12,0.007178633119799919,0.03727074741163688,internet,ANES 2012,Knowledge,0.007178633119799919
ideology,Extraversion,anes12,-0.028323529662685636,0.04840747505209854,internet,ANES 2012,Left-right ideology,0.028323529662685636
stfdem,Agreeableness,anes12,-0.012358634964666795,0.04193080423449366,internet,ANES 2012,Sat. democracy,0.012358634964666795
polintr,Neuroticism,anes12,0.004691295323755941,0.04241666385331787,internet,ANES 2012,Interest,0.004691295323755941
poleff,Openness,anes12,0.003834150167450961,0.040908773787318234,internet,ANES 2012,Efficacy,0.003834150167450961
involvement,Conscientiousness,anes12,0.013075994925076273,0.038029154292695794,internet,ANES 2012,Involvement,0.013075994925076273
polpar,Extraversion,anes12,-0.0034190444253052,0.06981713994276569,internet,ANES 2012,Participation,0.0034190444253052
media,Agreeableness,anes12,-0.04635682667327726,0.04178612617928005,internet,ANES 2012,Media use,0.04635682667327726
poltr,Neuroticism,anes12,0.06559906800921832,0.061226723469847796,internet,ANES 2012,Political trust,0.06559906800921832
knowledge,Openness,anes12,-0.04440104396310451,0.03991469427272569,internet,ANES 2012,Knowledge,0.04440104396310451
ideology,Conscientiousness,anes12,0.0317892153766546,0.04269133854273279,internet,ANES 2012,Left-right ideology,0.0317892153766546
stfdem,Extraversion,anes12,-0.028151043071102548,0.045110415560566414,internet,ANES 2012,Sat. democracy,0.028151043071102548
polintr,Agreeableness,anes12,-0.08608737457806054,0.04148027328111332,internet,ANES 2012,Interest,0.08608737457806054
poleff,Neuroticism,anes12,-0.007756722941714811,0.043148493503505046,internet,ANES 2012,Efficacy,0.007756722941714811
involvement,Openness,anes12,0.06579846810649892,0.04002374093857156,internet,ANES 2012,Involvement,0.06579846810649892
polpar,Conscientiousness,anes12,0.09613026509591678,0.06064383504580164,internet,ANES 2012,Participation,0.09613026509591678
media,Extraversion,anes12,0.12544669491191807,0.04493885387349972,internet,ANES 2012,Media use,0.12544669491191807
poltr,Agreeableness,anes12,-0.052745029423820464,0.05954891219810831,internet,ANES 2012,Political trust,0.052745029423820464
knowledge,Neuroticism,anes12,0.03411364526196741,0.04175733576060939,internet,ANES 2012,Knowledge,0.03411364526196741
ideology,Openness,anes16,-0.054820105006357055,0.06587652915663036,internet,ANES 2016,Left-right ideology,0.054820105006357055
stfdem,Conscientiousness,anes16,0.07490688073978422,0.051788437178447555,internet,ANES 2016,Sat. democracy,0.07490688073978422
polintr,Extraversion,anes16,-0.022450661953278852,0.06263410133312992,internet,ANES 2016,Interest,0.022450661953278852
poleff,Agreeableness,anes16,0.017101512526706098,0.05654547059884984,internet,ANES 2016,Efficacy,0.017101512526706098
involvement,Neuroticism,anes16,-0.013583773711638512,0.05673457576655581,internet,ANES 2016,Involvement,0.013583773711638512
polpar,Openness,anes16,-0.12352739789420694,0.07108701013378425,internet,ANES 2016,Participation,0.12352739789420694
media,Conscientiousness,anes16,0.07439427786054469,0.050593045668619344,internet,ANES 2016,Media use,0.07439427786054469
poltr,Extraversion,anes16,0.016762598993844073,0.06362238240977143,internet,ANES 2016,Political trust,0.016762598993844073
knowledge,Agreeableness,anes16,-0.09332599772758456,0.05475785643868262,internet,ANES 2016,Knowledge,0.09332599772758456
ideology,Neuroticism,anes16,0.0015905082799597726,0.07133684478617872,internet,ANES 2016,Left-right ideology,0.0015905082799597726
stfdem,Openness,anes16,-0.004464928415593383,0.052955069279171464,internet,ANES 2016,Sat. democracy,0.004464928415593383
polintr,Conscientiousness,anes16,0.033473019288676346,0.050395358724049925,internet,ANES 2016,Interest,0.033473019288676346
poleff,Extraversion,anes16,0.041335951461153785,0.0639304808364636,internet,ANES 2016,Efficacy,0.041335951461153785
involvement,Agreeableness,anes16,0.09687243501832525,0.05626708486315315,internet,ANES 2016,Involvement,0.09687243501832525
polpar,Neuroticism,anes16,0.07533722215697466,0.07381088051356405,internet,ANES 2016,Participation,0.07533722215697466
media,Openness,anes16,0.010248128797198906,0.052143680970505854,internet,ANES 2016,Media use,0.010248128797198906
poltr,Conscientiousness,anes16,-0.030242338867407494,0.051295408002949766,internet,ANES 2016,Political trust,0.030242338867407494
knowledge,Extraversion,anes16,-0.01417640248413079,0.06254641101764893,internet,ANES 2016,Knowledge,0.01417640248413079
ideology,Agreeableness,anes16,-0.1647147909526394,0.06957963324524845,internet,ANES 2016,Left-right ideology,0.1647147909526394
stfdem,Neuroticism,anes16,-0.03374902847876055,0.056861290510517755,internet,ANES 2016,Sat. democracy,0.03374902847876055
polintr,Openness,anes16,-0.0016903926862175045,0.051679585775878056,internet,ANES 2016,Interest,0.0016903926862175045
poleff,Conscientiousness,anes16,0.12844951721657694,0.05179350257433478,internet,ANES 2016,Efficacy,0.12844951721657694
involvement,Extraversion,anes16,0.03618386466409303,0.06410329743214375,internet,ANES 2016,Involvement,0.03618386466409303
polpar,Agreeableness,anes16,-0.02311589835231901,0.06946331964576398,internet,ANES 2016,Participation,0.02311589835231901
media,Neuroticism,anes16,0.10270810215193518,0.05546599908643419,internet,ANES 2016,Media use,0.10270810215193518
poltr,Openness,anes16,-0.039437409182668,0.05260989579606452,internet,ANES 2016,Political trust,0.039437409182668
knowledge,Conscientiousness,anes16,0.03688324510682435,0.04983113579115328,internet,ANES 2016,Knowledge,0.03688324510682435
ideology,Extraversion,anes16,0.1023084721138597,0.07928963052242818,internet,ANES 2016,Left-right ideology,0.1023084721138597
stfdem,Agreeableness,anes16,-0.10817644113193178,0.0565153399787712,internet,ANES 2016,Sat. democracy,0.10817644113193178
polintr,Neuroticism,anes16,0.04567859192639714,0.05522728935446994,internet,ANES 2016,Interest,0.04567859192639714
poleff,Openness,anes16,0.0895715366803284,0.052997887147564315,internet,ANES 2016,Efficacy,0.0895715366803284
involvement,Conscientiousness,anes16,0.034280277712761126,0.05207031381700172,internet,ANES 2016,Involvement,0.034280277712761126
polpar,Extraversion,anes16,0.01177744473994682,0.08146459793388768,internet,ANES 2016,Participation,0.01177744473994682
media,Agreeableness,anes16,-0.07274482955635202,0.05524054445562884,internet,ANES 2016,Media use,0.07274482955635202
poltr,Neuroticism,anes16,0.07004179192173468,0.05622138490822536,internet,ANES 2016,Political trust,0.07004179192173468
knowledge,Openness,anes16,-0.052272046822473606,0.05140854530580015,internet,ANES 2016,Knowledge,0.052272046822473606
ideology,Conscientiousness,anes16,-0.09244799835078794,0.06805046360307111,internet,ANES 2016,Left-right ideology,0.09244799835078794
stfdem,Extraversion,anes16,0.13653427957580497,0.06472400729896825,internet,ANES 2016,Sat. democracy,0.13653427957580497
polintr,Agreeableness,anes16,0.016731605828299214,0.05515232982214821,internet,ANES 2016,Interest,0.016731605828299214
poleff,Neuroticism,anes16,-0.041462859450966824,0.05669031685527678,internet,ANES 2016,Efficacy,0.041462859450966824
involvement,Openness,anes16,0.08103013896266045,0.05259678738502606,internet,ANES 2016,Involvement,0.08103013896266045
polpar,Conscientiousness,anes16,0.05200641599404548,0.06866034500002322,internet,ANES 2016,Participation,0.05200641599404548
media,Extraversion,anes16,-0.08257633526720451,0.06277505793798707,internet,ANES 2016,Media use,0.08257633526720451
poltr,Agreeableness,anes16,-0.027428535594766466,0.05591959545627541,internet,ANES 2016,Political trust,0.027428535594766466
knowledge,Neuroticism,anes16,0.055103575272684974,0.05458942090053551,internet,ANES 2016,Knowledge,0.055103575272684974
ideology,Openness,bes,NA,NA,internet,BES,Left-right ideology,NA
stfdem,Conscientiousness,bes,NA,NA,internet,BES,Sat. democracy,NA
polintr,Extraversion,bes,NA,NA,internet,BES,Interest,NA
poleff,Agreeableness,bes,NA,NA,internet,BES,Efficacy,NA
involvement,Neuroticism,bes,NA,NA,internet,BES,Involvement,NA
polpar,Openness,bes,NA,NA,internet,BES,Participation,NA
media,Conscientiousness,bes,NA,NA,internet,BES,Media use,NA
poltr,Extraversion,bes,NA,NA,internet,BES,Political trust,NA
knowledge,Agreeableness,bes,NA,NA,internet,BES,Knowledge,NA
ideology,Neuroticism,bes,NA,NA,internet,BES,Left-right ideology,NA
stfdem,Openness,bes,NA,NA,internet,BES,Sat. democracy,NA
polintr,Conscientiousness,bes,NA,NA,internet,BES,Interest,NA
poleff,Extraversion,bes,NA,NA,internet,BES,Efficacy,NA
involvement,Agreeableness,bes,NA,NA,internet,BES,Involvement,NA
polpar,Neuroticism,bes,NA,NA,internet,BES,Participation,NA
media,Openness,bes,NA,NA,internet,BES,Media use,NA
poltr,Conscientiousness,bes,NA,NA,internet,BES,Political trust,NA
knowledge,Extraversion,bes,NA,NA,internet,BES,Knowledge,NA
ideology,Agreeableness,bes,NA,NA,internet,BES,Left-right ideology,NA
stfdem,Neuroticism,bes,NA,NA,internet,BES,Sat. democracy,NA
polintr,Openness,bes,NA,NA,internet,BES,Interest,NA
poleff,Conscientiousness,bes,NA,NA,internet,BES,Efficacy,NA
involvement,Extraversion,bes,NA,NA,internet,BES,Involvement,NA
polpar,Agreeableness,bes,NA,NA,internet,BES,Participation,NA
media,Neuroticism,bes,NA,NA,internet,BES,Media use,NA
poltr,Openness,bes,NA,NA,internet,BES,Political trust,NA
knowledge,Conscientiousness,bes,NA,NA,internet,BES,Knowledge,NA
ideology,Extraversion,bes,NA,NA,internet,BES,Left-right ideology,NA
stfdem,Agreeableness,bes,NA,NA,internet,BES,Sat. democracy,NA
polintr,Neuroticism,bes,NA,NA,internet,BES,Interest,NA
poleff,Openness,bes,NA,NA,internet,BES,Efficacy,NA
involvement,Conscientiousness,bes,NA,NA,internet,BES,Involvement,NA
polpar,Extraversion,bes,NA,NA,internet,BES,Participation,NA
media,Agreeableness,bes,NA,NA,internet,BES,Media use,NA
poltr,Neuroticism,bes,NA,NA,internet,BES,Political trust,NA
knowledge,Openness,bes,NA,NA,internet,BES,Knowledge,NA
ideology,Conscientiousness,bes,NA,NA,internet,BES,Left-right ideology,NA
stfdem,Extraversion,bes,NA,NA,internet,BES,Sat. democracy,NA
polintr,Agreeableness,bes,NA,NA,internet,BES,Interest,NA
poleff,Neuroticism,bes,NA,NA,internet,BES,Efficacy,NA
involvement,Openness,bes,NA,NA,internet,BES,Involvement,NA
polpar,Conscientiousness,bes,NA,NA,internet,BES,Participation,NA
media,Extraversion,bes,NA,NA,internet,BES,Media use,NA
poltr,Agreeableness,bes,NA,NA,internet,BES,Political trust,NA
knowledge,Neuroticism,bes,NA,NA,internet,BES,Knowledge,NA
ideology,Openness,liss,-0.009594140648573111,0.060295590286637446,internet,LISS,Left-right ideology,0.009594140648573111
stfdem,Conscientiousness,liss,-0.023715064570699676,0.05849297698774136,internet,LISS,Sat. democracy,0.023715064570699676
polintr,Extraversion,liss,-0.03782420357507495,0.060941491481182955,internet,LISS,Interest,0.03782420357507495
poleff,Agreeableness,liss,0.03316751365597606,0.055801566412489984,internet,LISS,Efficacy,0.03316751365597606
involvement,Neuroticism,liss,-0.0593289732003803,0.05582382286105182,internet,LISS,Involvement,0.0593289732003803
polpar,Openness,liss,0.03912548992697031,0.06040543518109091,internet,LISS,Participation,0.03912548992697031
media,Conscientiousness,liss,-0.11853224829413721,0.05680714591214506,internet,LISS,Media use,0.11853224829413721
poltr,Extraversion,liss,-0.012149464514004995,0.06252278895132739,internet,LISS,Political trust,0.012149464514004995
knowledge,Agreeableness,liss,NA,NA,internet,LISS,Knowledge,NA
ideology,Neuroticism,liss,-0.053772918316385025,0.062154210340547536,internet,LISS,Left-right ideology,0.053772918316385025
stfdem,Openness,liss,0.03196781215306041,0.05862707187126127,internet,LISS,Sat. democracy,0.03196781215306041
polintr,Conscientiousness,liss,0.029445276296699182,0.05677757173085764,internet,LISS,Interest,0.029445276296699182
poleff,Extraversion,liss,0.003975730486391533,0.06055217406016484,internet,LISS,Efficacy,0.003975730486391533
involvement,Agreeableness,liss,0.09902020323402035,0.05596965297547939,internet,LISS,Involvement,0.09902020323402035
polpar,Neuroticism,liss,0.0985745869987051,0.05892522913494018,internet,LISS,Participation,0.0985745869987051
media,Openness,liss,0.0338391334492626,0.05584222467413158,internet,LISS,Media use,0.0338391334492626
poltr,Conscientiousness,liss,0.06093831427213232,0.05739204245523019,internet,LISS,Political trust,0.06093831427213232
